pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
9201,旧宇都宮市,9201,90001,466299,宇都宮市,1
9303,旧上河内町,9201,90002,9631,宇都宮市,2
9304,旧河内町,9201,90003,34824,宇都宮市,2
9202,-,9202,90004,140228,足利市,5
9203,旧栃木市,9203,90005,74765,栃木市,5
9321,旧西方町,9203,90006,5817,栃木市,5
9365,旧大平町,9203,90007,27948,栃木市,5
9366,旧藤岡町,9203,90008,14553,栃木市,5
9367,旧岩舟町,9203,90009,16354,栃木市,5
9368,旧都賀町,9203,90010,12278,栃木市,5
9204,-,9204,90011,113538,佐野市,5
9205,-,9205,90012,92661,鹿沼市,2
9206,-,9206,90013,76825,日光市,2
9208,-,9208,90014,160632,小山市,4
9209,-,9209,90015,75044,真岡市,4
9210,-,9210,90016,71077,大田原市,3
9211,-,9211,90017,30874,矢板市,3
9213,-,9213,90018,113355,那須塩原市,3
9214,-,9214,90019,44132,さくら市,2
9215,-,9215,90020,24648,那須烏山市,3
9302,旧南河内町,9216,90021,19513,下野市,4
9362,旧石橋町,9216,90022,20887,下野市,4
9363,旧国分寺町,9216,90023,18508,下野市,4
9301,-,9301,9300,30473,上三川町,1
9342,-,9342,9340,21709,益子町,4
9343,-,9343,9340,11797,茂木町,4
9344,-,9344,9340,11089,市貝町,4
9345,-,9345,9340,14802,芳賀町,4
9361,-,9361,9360,38971,壬生町,4
9364,-,9364,9360,24588,野木町,4
9384,-,9384,9380,10301,塩谷町,2
9386,-,9386,9380,28831,高根沢町,2
9407,-,9407,9400,23714,那須町,3
9411,-,9411,9400,15072,那珂川町,3