code,pref_japanese,pref_english,n_dist_old,n_dist_new
1,北海道,Hokkaido,12,12
2,青森県,Aomori,3,3
3,岩手県,Iwate,3,3
4,宮城県,Miyagi,6,5
5,秋田県,Akita,3,3
6,山形県,Yamagata,3,3
7,福島県,Fukushima,5,4
8,茨城県,Ibaraki,7,7
9,栃木県,Tochigi,5,5
10,群馬県,Gunma,5,5
11,埼玉県,Saitama,15,16
12,千葉県,Chiba,13,14
13,東京都,Tokyo,25,30
14,神奈川県,Kanagawa,18,20
15,新潟県,Niigata,6,5
16,富山県,Toyama,3,3
17,石川県,Ishikawa,3,3
18,福井県,Fukui,2,2
19,山梨県,Yamanashi,2,2
20,長野県,Nagano,5,5
21,岐阜県,Gifu,5,5
22,静岡県,Shizuoka,8,8
23,愛知県,Aichi,15,16
24,三重県,Mie,4,4
25,滋賀県,Shiga,4,3
26,京都府,Kyoto,6,6
27,大阪府,Osaka,19,19
28,兵庫県,Hyogo,12,12
29,奈良県,Nara,3,3
30,和歌山県,Wakayama,3,2
31,鳥取県,Tottori,2,2
32,島根県,Shimane,2,2
33,岡山県,Okayama,5,4
34,広島県,Hiroshima,7,6
35,山口県,Yamaguchi,4,3
36,徳島県,Tokushima,2,2
37,香川県,Kagawa,3,3
38,愛媛県,Ehime,4,3
39,高知県,Kochi,2,2
40,福岡県,Fukuoka,11,11
41,佐賀県,Saga,2,2
42,長崎県,Nagasaki,4,3
43,熊本県,Kumamoto,4,4
44,大分県,Oita,3,3
45,宮崎県,Miyazaki,3,3
46,鹿児島県,Kagoshima,4,4
47,沖縄県,Okinawa,4,4